iter	Passed	Remaining
0	10	7445
1	19	6790
2	28	6587
3	38	6591
4	46	6374
5	55	6328
6	65	6344
7	75	6434
8	87	6555
9	94	6395
10	101	6217
11	111	6265
12	121	6303
13	133	6394
14	141	6347
15	150	6291
16	159	6286
17	169	6295
18	178	6278
19	186	6231
20	233	7403
21	248	7503
22	256	7405
23	263	7291
24	272	7204
25	279	7094
26	287	7016
27	295	6943
28	302	6862
29	309	6788
30	319	6770
31	328	6728
32	336	6668
33	344	6625
34	354	6601
35	364	6585
36	371	6520
37	381	6511
38	388	6463
39	396	6412
40	405	6383
41	413	6346
42	421	6315
43	429	6271
44	438	6249
45	447	6232
46	459	6255
47	468	6235
48	477	6219
49	485	6179
50	492	6146
51	500	6117
52	508	6081
53	517	6066
54	524	6029
55	532	5999
56	539	5967
57	548	5946
58	555	5917
59	563	5889
60	572	5875
61	579	5840
62	587	5815
63	594	5787
64	601	5755
65	608	5729
66	615	5699
67	623	5677
68	632	5663
69	643	5670
70	655	5684
71	665	5684
72	677	5699
73	688	5706
74	703	5738
75	717	5767
76	726	5752
77	737	5761
78	747	5751
79	757	5745
80	766	5735
81	783	5781
82	795	5785
83	805	5783
84	814	5770
85	822	5746
86	829	5721
87	838	5707
88	846	5684
89	854	5667
90	863	5653
91	873	5647
92	881	5629
93	890	5618
94	901	5614
95	908	5595
96	918	5588
97	929	5584
98	936	5562
99	943	5539
100	952	5523
101	959	5502
102	967	5482
103	975	5470
104	983	5451
105	991	5435
106	998	5410
107	1004	5387
108	1011	5363
109	1017	5339
110	1023	5313
111	1030	5288
112	1036	5266
113	1043	5243
114	1050	5226
115	1058	5212
116	1067	5200
117	1074	5180
118	1082	5164
119	1089	5146
120	1097	5135
121	1105	5121
122	1114	5111
123	1122	5095
124	1129	5078
125	1137	5063
126	1145	5052
127	1153	5038
128	1160	5020
129	1168	5004
130	1175	4989
131	1182	4972
132	1192	4966
133	1200	4954
134	1208	4941
135	1215	4924
136	1221	4904
137	1227	4882
138	1234	4865
139	1240	4846
140	1247	4828
141	1253	4810
142	1260	4797
143	1270	4790
144	1278	4779
145	1287	4769
146	1299	4772
147	1312	4780
148	1332	4809
149	1346	4821
150	1367	4854
151	1386	4878
152	1396	4875
153	1406	4869
154	1426	4895
155	1433	4880
156	1441	4867
157	1449	4851
158	1455	4833
159	1463	4819
160	1469	4802
161	1476	4783
162	1483	4767
163	1489	4750
164	1496	4734
165	1503	4717
166	1510	4703
167	1518	4690
168	1525	4676
169	1533	4664
170	1543	4657
171	1549	4640
172	1558	4630
173	1565	4615
174	1572	4600
175	1578	4583
176	1586	4570
177	1592	4554
178	1599	4539
179	1607	4526
180	1613	4510
181	1619	4493
182	1626	4478
183	1632	4463
184	1639	4449
185	1646	4434
186	1653	4421
187	1660	4407
188	1666	4391
189	1673	4377
190	1680	4362
191	1686	4348
192	1694	4336
193	1701	4322
194	1707	4309
195	1714	4294
196	1721	4281
197	1729	4270
198	1735	4255
199	1745	4249
200	1751	4236
201	1758	4223
202	1765	4209
203	1772	4196
204	1779	4183
205	1786	4170
206	1792	4157
207	1799	4145
208	1806	4131
209	1813	4119
210	1820	4107
211	1827	4094
212	1838	4090
213	1846	4081
214	1854	4071
215	1862	4060
216	1869	4048
217	1876	4038
218	1884	4027
219	1892	4018
220	1900	4007
221	1908	3997
222	1916	3988
223	1925	3980
224	1932	3968
225	1940	3959
226	1948	3948
227	1957	3941
228	1966	3932
229	1975	3925
230	1983	3915
231	1991	3905
232	1999	3895
233	2007	3886
234	2015	3876
235	2023	3866
236	2031	3857
237	2038	3846
238	2046	3835
239	2052	3823
240	2059	3810
241	2066	3800
242	2073	3788
243	2080	3776
244	2086	3764
245	2093	3753
246	2100	3741
247	2107	3730
248	2115	3720
249	2121	3709
250	2128	3697
251	2134	3684
252	2141	3673
253	2148	3661
254	2156	3653
255	2162	3640
256	2172	3635
257	2181	3626
258	2188	3616
259	2194	3604
260	2202	3594
261	2208	3583
262	2215	3572
263	2222	3561
264	2229	3550
265	2236	3538
266	2242	3528
267	2252	3521
268	2259	3511
269	2265	3499
270	2272	3488
271	2279	3478
272	2286	3468
273	2294	3458
274	2300	3447
275	2307	3436
276	2314	3425
277	2320	3413
278	2327	3404
279	2334	3393
280	2341	3383
281	2349	3374
282	2357	3365
283	2364	3355
284	2373	3347
285	2382	3340
286	2393	3335
287	2402	3328
288	2411	3320
289	2420	3313
290	2428	3304
291	2435	3295
292	2442	3284
293	2450	3276
294	2458	3266
295	2466	3257
296	2473	3247
297	2481	3238
298	2488	3229
299	2499	3224
300	2509	3217
301	2518	3211
302	2530	3206
303	2539	3198
304	2546	3189
305	2553	3179
306	2560	3169
307	2568	3160
308	2576	3151
309	2585	3144
310	2593	3135
311	2603	3128
312	2611	3119
313	2618	3110
314	2626	3101
315	2634	3093
316	2642	3084
317	2650	3075
318	2658	3066
319	2665	3057
320	2673	3048
321	2681	3039
322	2689	3030
323	2697	3021
324	2705	3013
325	2713	3004
326	2721	2996
327	2731	2989
328	2739	2980
329	2746	2971
330	2754	2962
331	2760	2952
332	2767	2942
333	2774	2932
334	2781	2922
335	2788	2912
336	2796	2904
337	2803	2894
338	2811	2886
339	2819	2877
340	2826	2867
341	2833	2858
342	2840	2848
343	2846	2838
344	2854	2829
345	2860	2818
346	2867	2809
347	2873	2799
348	2880	2789
349	2887	2779
350	2893	2769
351	2901	2761
352	2907	2751
353	2914	2741
354	2923	2734
355	2935	2729
356	2944	2721
357	2952	2713
358	2961	2705
359	2968	2696
360	2976	2687
361	2983	2678
362	2988	2667
363	2996	2659
364	3003	2649
365	3011	2641
366	3018	2632
367	3027	2624
368	3035	2615
369	3042	2606
370	3049	2597
371	3055	2587
372	3061	2577
373	3069	2569
374	3076	2559
375	3082	2549
376	3089	2540
377	3096	2531
378	3103	2521
379	3109	2512
380	3117	2503
381	3123	2494
382	3130	2484
383	3138	2476
384	3145	2467
385	3151	2457
386	3159	2449
387	3167	2441
388	3176	2433
389	3183	2424
390	3190	2415
391	3197	2405
392	3203	2396
393	3211	2387
394	3217	2378
395	3224	2369
396	3231	2360
397	3239	2352
398	3248	2344
399	3256	2336
400	3263	2327
401	3269	2317
402	3276	2308
403	3283	2300
404	3290	2290
405	3297	2282
406	3303	2273
407	3310	2263
408	3317	2254
409	3323	2245
410	3330	2236
411	3337	2227
412	3344	2219
413	3351	2210
414	3358	2201
415	3365	2192
416	3371	2183
417	3379	2175
418	3388	2167
419	3397	2159
420	3403	2150
421	3410	2141
422	3417	2132
423	3423	2123
424	3430	2114
425	3441	2108
426	3449	2100
427	3456	2091
428	3463	2083
429	3472	2075
430	3481	2068
431	3489	2059
432	3497	2051
433	3503	2042
434	3511	2034
435	3517	2025
436	3524	2016
437	3531	2007
