iter	Passed	Remaining
0	72	18093
1	157	19516
2	189	15569
3	213	13114
4	245	12014
5	271	11042
6	297	10331
7	325	9844
8	355	9508
9	380	9128
10	404	8794
11	436	8647
12	461	8407
13	488	8240
14	514	8066
15	538	7881
16	563	7728
17	593	7644
18	618	7518
19	650	7477
20	687	7492
21	718	7446
22	754	7442
23	780	7348
24	807	7266
25	834	7190
26	857	7081
27	889	7048
28	911	6948
29	935	6857
30	960	6783
31	984	6704
32	1010	6642
33	1034	6573
34	1062	6526
35	1086	6461
36	1110	6394
37	1133	6323
38	1157	6262
39	1181	6203
40	1213	6185
41	1234	6115
42	1262	6075
43	1289	6036
44	1317	6000
45	1345	5967
46	1371	5925
47	1400	5893
48	1423	5840
49	1448	5795
50	1479	5773
51	1511	5755
52	1534	5703
53	1558	5658
54	1583	5613
55	1604	5558
56	1630	5520
57	1654	5478
58	1678	5433
59	1699	5383
60	1722	5337
61	1746	5296
62	1769	5252
63	1793	5212
64	1818	5175
65	1842	5137
66	1867	5101
67	1891	5063
68	1919	5035
69	1942	4994
70	1964	4952
71	1990	4920
72	2014	4884
73	2040	4853
74	2067	4824
75	2090	4785
76	2115	4752
77	2145	4731
78	2180	4718
79	2199	4673
80	2224	4641
81	2247	4605
82	2274	4576
83	2297	4540
84	2324	4513
85	2350	4482
86	2383	4466
87	2414	4444
88	2435	4406
89	2463	4379
90	2485	4342
91	2516	4321
92	2540	4288
93	2565	4258
94	2592	4229
95	2616	4197
96	2640	4164
97	2667	4136
98	2693	4107
99	2721	4081
100	2745	4050
101	2771	4021
102	2799	3995
103	2827	3969
104	2850	3936
105	2876	3907
106	2902	3878
107	2925	3846
108	2951	3817
109	2976	3788
110	3000	3757
111	3024	3726
112	3050	3698
113	3073	3666
114	3103	3642
115	3127	3612
116	3160	3592
117	3183	3561
118	3204	3527
119	3229	3498
120	3260	3475
121	3287	3449
122	3306	3414
123	3328	3382
124	3352	3352
125	3375	3322
126	3399	3292
127	3424	3263
128	3448	3234
129	3470	3203
130	3493	3173
131	3518	3144
132	3546	3120
133	3571	3091
134	3595	3062
135	3622	3036
136	3646	3007
137	3668	2977
138	3692	2949
139	3723	2925
140	3747	2897
141	3775	2871
142	3804	2846
143	3826	2816
144	3850	2788
145	3875	2760
146	3899	2731
147	3923	2703
148	3948	2676
149	3979	2652
150	3998	2621
151	4023	2594
152	4047	2565
153	4076	2540
154	4101	2513
155	4127	2487
156	4153	2460
157	4182	2435
158	4210	2409
159	4235	2382
160	4256	2353
161	4283	2326
162	4306	2298
163	4331	2271
164	4357	2244
165	4386	2219
166	4406	2190
167	4431	2162
168	4454	2134
169	4484	2110
170	4510	2083
171	4534	2056
172	4559	2029
173	4586	2003
174	4612	1976
175	4636	1949
176	4664	1923
177	4688	1896
178	4714	1870
179	4739	1843
180	4764	1816
181	4792	1790
182	4816	1763
183	4840	1736
184	4867	1710
185	4896	1684
186	4924	1658
187	4950	1632
188	4980	1607
189	5009	1581
190	5029	1553
191	5063	1529
192	5086	1502
193	5110	1475
194	5135	1448
195	5166	1423
196	5190	1396
197	5211	1368
198	5239	1342
199	5266	1316
200	5290	1289
201	5315	1263
202	5343	1237
203	5368	1210
204	5396	1184
205	5423	1158
206	5449	1132
207	5475	1105
208	5497	1078
209	5524	1052
210	5552	1026
211	5580	1000
212	5603	973
213	5626	946
214	5646	919
215	5672	892
216	5693	865
217	5723	840
218	5752	814
219	5776	787
220	5792	760
221	5816	733
222	5846	707
223	5876	682
224	5904	656
225	5935	630
226	5961	604
227	5990	578
228	6015	551
229	6039	525
230	6065	498
231	6088	472
232	6114	446
233	6139	419
234	6166	393
235	6190	367
236	6217	341
237	6246	314
