iter	RMSE
0	75980.88419
1	75581.16665
2	75195.09634
3	74847.01647
4	74514.02704
5	74196.85418
6	73895.88292
7	73611.58895
8	73343.43802
9	73089.86162
10	72855.99133
11	72637.65953
12	72432.7257
13	72227.21595
14	72040.74414
15	71865.37989
16	71698.56002
17	71542.58221
18	71393.03037
19	71255.25528
20	71123.21557
21	70994.42755
22	70871.02647
23	70755.58042
24	70650.9959
25	70541.5982
26	70443.32684
27	70342.37866
28	70249.17943
29	70153.3996
30	70074.71438
31	69996.56433
32	69925.09613
33	69838.46647
34	69765.11771
35	69702.6051
36	69634.79637
37	69573.13879
38	69513.58275
39	69447.97958
40	69394.45217
41	69341.41203
42	69279.70047
43	69229.37623
44	69178.85325
45	69107.50866
46	69066.45604
47	69023.85009
48	68983.05814
49	68945.34997
50	68897.5313
51	68860.09516
52	68825.40174
53	68789.94499
54	68753.22233
55	68722.02487
56	68691.86117
57	68666.13444
58	68630.64254
59	68590.99974
60	68559.07143
61	68526.80661
62	68501.44488
63	68470.44856
64	68428.47554
65	68400.81325
66	68368.81094
67	68335.14008
68	68313.3534
69	68293.41338
70	68272.47935
71	68243.13934
72	68213.90678
73	68188.5664
74	68167.22787
75	68147.64246
76	68125.28737
77	68091.54612
78	68070.98866
79	68050.34806
80	68032.29692
81	68017.72986
82	67994.06713
83	67951.23069
84	67928.87289
85	67912.38409
86	67893.83421
87	67876.62323
88	67861.98088
89	67846.14589
90	67823.0676
91	67802.90721
92	67783.11205
93	67774.85692
94	67760.85188
95	67743.95576
96	67730.2403
97	67719.81844
98	67707.49744
99	67692.38993
100	67678.89507
101	67667.18182
102	67647.86643
103	67635.3268
104	67620.78372
105	67605.78738
106	67597.68569
107	67585.82105
108	67569.10951
109	67559.55256
110	67541.9709
111	67530.64471
112	67523.23557
113	67505.79604
114	67492.26994
115	67478.95561
116	67471.06548
117	67459.23986
118	67447.876
119	67438.63508
120	67426.26086
121	67419.44297
122	67404.75829
123	67397.28738
124	67386.85592
125	67371.4343
126	67360.68736
127	67354.37849
128	67337.52411
129	67326.2131
130	67319.03733
131	67304.69335
132	67296.88231
133	67292.20398
134	67284.44929
135	67276.785
136	67269.25351
137	67257.72855
138	67254.03617
139	67247.40685
140	67226.2792
141	67218.72303
142	67209.47184
143	67199.5226
144	67194.04737
145	67189.90617
146	67186.03111
147	67177.0742
148	67161.24826
149	67153.15281
150	67144.47378
151	67136.85757
152	67098.62766
153	67087.1565
154	67075.09611
155	67071.3136
156	67063.55437
157	67030.12284
158	67022.04555
159	67012.29998
160	67006.82791
161	67001.61715
162	66969.37302
163	66962.94575
164	66952.98574
165	66948.79318
166	66944.06667
167	66934.5447
168	66930.74792
169	66922.58923
170	66910.32627
171	66906.63695
172	66904.12317
173	66894.4761
174	66891.07195
175	66877.37871
176	66872.09836
177	66865.94364
178	66854.54589
179	66844.68794
180	66839.22212
181	66830.48059
182	66818.97414
183	66788.87442
184	66781.6381
185	66770.86457
186	66763.84162
187	66754.73634
188	66740.41727
189	66721.34313
190	66707.89386
191	66684.29781
192	66663.90679
193	66652.81105
194	66642.60069
195	66637.64396
196	66632.9921
197	66628.88911
198	66616.06219
199	66600.07573
200	66584.66638
201	66569.64802
202	66564.50253
203	66556.45778
204	66553.71691
205	66546.01726
206	66537.5652
207	66528.30244
208	66521.56627
209	66508.53488
210	66504.31217
211	66497.12411
212	66490.63069
213	66483.2461
214	66473.9289
215	66468.49863
216	66458.26426
217	66450.39443
218	66447.36368
219	66437.44834
220	66420.86029
221	66416.12741
222	66414.51808
223	66407.6887
224	66401.33148
225	66391.80146
226	66390.16449
227	66379.40186
228	66349.37256
229	66341.30501
230	66328.38068
231	66299.68716
232	66295.89581
233	66283.28545
234	66278.28462
235	66270.52326
236	66258.34066
237	66253.53001
238	66249.78178
239	66246.45438
240	66245.0047
241	66238.59056
242	66223.4328
243	66211.56795
244	66208.6476
245	66199.24695
246	66192.08675
247	66188.82873
248	66181.22465
249	66178.38059
250	66169.49721
251	66166.45025
252	66161.53586
253	66159.85336
254	66144.40171
255	66137.95414
256	66125.9435
257	66114.76381
258	66114.25497
259	66101.57407
260	66090.81815
261	66085.90845
262	66080.95893
263	66053.8752
264	66052.53966
265	66047.84252
266	66046.30241
267	66042.68275
268	66031.99363
269	66029.03551
270	66017.25413
271	65997.36891
272	65984.37203
273	65972.86128
274	65962.234
275	65960.92262
276	65959.41506
277	65945.55388
278	65943.24751
279	65930.53389
280	65922.21282
281	65915.41395
282	65901.41137
283	65899.64167
284	65893.619
285	65883.14919
286	65867.83817
287	65864.85296
288	65856.98041
289	65850.65574
290	65838.8437
291	65835.13723
292	65831.30806
293	65816.20562
294	65807.01568
295	65794.67401
296	65785.41094
297	65774.50814
298	65773.23023
299	65764.29553
300	65763.0626
301	65757.71612
302	65751.39988
303	65745.9378
304	65727.26879
305	65723.79338
306	65710.11245
307	65695.79437
308	65686.70999
309	65680.03075
310	65677.51747
311	65673.03673
312	65671.89972
313	65646.26642
314	65645.85076
315	65641.90795
316	65632.22519
317	65625.00514
318	65623.82461
319	65622.68677
320	65616.14983
321	65613.16363
322	65605.08824
323	65603.27148
324	65593.9538
325	65586.75366
326	65583.2567
327	65575.9598
328	65568.43336
329	65566.34206
330	65565.29975
331	65559.51244
332	65558.49539
333	65550.7589
334	65542.74138
335	65538.7977
336	65535.77363
337	65527.53397
338	65499.81382
339	65486.72171
340	65478.12457
341	65466.85466
342	65454.61859
343	65451.08297
344	65443.83955
345	65440.2182
346	65431.29053
347	65428.62768
348	65423.42275
349	65412.29742
350	65408.97313
351	65405.93559
352	65401.89985
353	65400.37729
354	65384.30662
355	65379.06385
356	65375.99195
357	65372.95248
358	65370.42753
359	65367.51895
360	65364.38996
361	65361.5716
362	65348.59253
363	65341.93705
364	65339.94427
365	65337.11932
366	65334.13803
367	65331.39516
368	65330.20481
369	65327.5471
370	65319.01123
371	65316.27387
372	65313.24414
373	65310.88804
374	65298.19135
375	65292.66028
376	65289.81916
377	65286.90274
378	65277.24254
379	65266.59831
380	65263.81402
381	65261.35855
382	65260.30985
383	65259.27354
384	65247.23665
385	65246.23033
386	65245.13799
387	65232.35449
388	65231.32684
389	65230.31583
390	65223.49985
391	65220.56171
392	65219.56929
393	65218.53579
394	65217.55979
395	65215.19325
396	65212.508
397	65209.68794
398	65207.36685
399	65199.74908
400	65198.81723
401	65197.89609
402	65191.23686
403	65180.3779
404	65171.88983
405	65169.23865
406	65160.31738
407	65152.92511
408	65150.70155
409	65148.39571
410	65136.23896
411	65135.35746
412	65133.08046
413	65125.89574
414	65117.25165
415	65114.58759
416	65103.35484
417	65091.56973
418	65090.75918
419	65089.95942
420	65087.49069
421	65085.0163
422	65084.20183
423	65081.99153
424	65081.06866
425	65080.23629
426	65074.39086
427	65068.60998
428	65066.29946
429	65065.4884
430	65054.09557
431	65053.31914
432	65052.55783
433	65051.78813
434	65049.64898
435	65047.40372
436	65046.65852
437	65040.97863
438	65033.33381
439	65026.55667
440	65025.81059
441	65012.45825
442	64997.63611
443	64992.14119
444	64991.41113
445	64984.85031
446	64976.86091
447	64975.75277
448	64974.66383
449	64969.25557
450	64956.78376
451	64955.71103
452	64954.98881
453	64953.9315
454	64953.30879
455	64952.59719
456	64947.25732
457	64939.45359
458	64933.50634
459	64932.80558
460	64924.99129
461	64924.38487
462	64919.16513
463	64914.02658
464	64912.98594
465	64912.29418
466	64911.59161
467	64901.58531
468	64891.76893
469	64886.71957
470	64876.53009
471	64875.8264
472	64874.70708
473	64862.25863
474	64861.27039
475	64847.20299
476	64846.51161
477	64841.57941
478	64836.72542
479	64836.03429
480	64831.22926
481	64818.76936
482	64818.09146
483	64812.73509
484	64804.44469
485	64803.78561
486	64799.03973
487	64798.38614
488	64793.70685
489	64792.74315
490	64792.0714
491	64791.31196
492	64781.78653
493	64780.14129
494	64776.54818
495	64775.91866
496	64775.29416
497	64771.78252
498	64771.16551
499	64755.75957
500	64747.85765
501	64746.25989
502	64742.85821
503	64742.2556
504	64741.6577
505	64730.81331
506	64729.45211
507	64721.7138
508	64717.16125
509	64715.6062
510	64714.06671
511	64712.54241
512	64711.96736
513	64704.97457
514	64704.30265
515	64701.05064
516	64699.55859
517	64687.53855
518	64679.97418
519	64676.82154
520	64675.35178
521	64673.89625
522	64672.45461
523	64667.93311
524	64664.85476
525	64663.43079
526	64656.02737
527	64654.61686
528	64652.17907
529	64643.39131
530	64642.00157
531	64633.16802
532	64631.79382
533	64627.38448
534	64619.81239
535	64617.44616
536	64591.35444
537	64590.83798
538	64586.52211
539	64582.21984
540	64579.89053
541	64578.53672
542	64571.11176
543	64566.90122
544	64562.73345
545	64561.39012
546	64552.07129
547	64547.95996
548	64547.47403
549	64546.14917
550	64538.51209
551	64534.45144
552	64527.84931
553	64502.20809
554	64494.96044
555	64493.65176
556	64493.06409
557	64467.87686
558	64463.8775
559	64462.58395
560	64460.28128
561	64458.07718
562	64456.80068
563	64449.67316
564	64445.7002
565	64444.43331
566	64443.17786
567	64439.89769
568	64437.74172
569	64433.82714
570	64431.03038
571	64428.90619
572	64422.76773
573	64418.93274
574	64411.96093
575	64411.39552
576	64407.58085
577	64407.01795
578	64399.75649
579	64395.99803
