iter	Passed	Remaining
0	190	110023
1	213	61757
2	238	45905
3	268	38600
4	304	35047
5	353	33797
6	408	33444
7	455	32594
8	497	31540
9	552	31490
10	599	31017
11	659	31236
12	694	30290
13	722	29207
14	751	28316
15	778	27458
16	806	26708
17	838	26195
18	869	25659
19	903	25292
20	931	24801
21	957	24293
22	984	23840
23	1010	23413
24	1040	23106
25	1083	23092
26	1172	24018
27	1204	23740
28	1232	23409
29	1259	23082
30	1287	22808
31	1326	22711
32	1370	22713
33	1420	22813
34	1456	22682
35	1501	22686
36	1552	22786
37	1599	22819
38	1630	22613
39	1662	22443
40	1701	22363
41	1736	22240
42	1783	22273
43	1818	22154
44	1853	22035
45	1887	21908
46	1929	21876
47	1975	21893
48	2026	21958
49	2060	21836
50	2102	21805
51	2160	21940
52	2208	21955
53	2241	21833
54	2281	21773
55	2317	21687
56	2347	21539
57	2374	21368
58	2399	21186
59	2425	21016
60	2451	20861
61	2480	20727
62	2507	20579
63	2533	20422
64	2559	20277
65	2588	20162
66	2612	20006
67	2638	19863
68	2665	19738
69	2696	19648
70	2724	19532
71	2755	19441
72	2782	19323
73	2809	19208
74	2834	19088
75	2859	18961
76	2886	18854
77	2913	18752
78	2940	18645
79	2969	18557
80	2996	18459
81	3020	18345
82	3045	18235
83	3071	18133
84	3097	18035
85	3126	17956
86	3151	17858
87	3175	17755
88	3200	17653
89	3225	17559
90	3252	17476
91	3278	17389
92	3302	17295
93	3332	17231
94	3358	17143
95	3385	17067
96	3410	16982
97	3434	16893
98	3459	16809
99	3487	16738
100	3513	16663
101	3540	16593
102	3570	16536
103	3597	16463
104	3624	16394
105	3649	16319
106	3675	16246
107	3702	16182
108	3728	16110
109	3752	16032
110	3808	16091
111	3841	16051
112	3866	15977
113	3891	15905
114	3916	15835
115	3941	15767
116	3966	15696
117	3992	15632
118	4020	15574
119	4047	15514
120	4072	15449
121	4098	15387
122	4124	15324
123	4148	15256
124	4173	15190
125	4197	15124
126	4223	15065
127	4248	15002
128	4276	14949
129	4302	14892
130	4329	14837
131	4355	14781
132	4379	14718
133	4404	14660
134	4429	14599
135	4453	14538
136	4480	14489
137	4505	14432
138	4531	14376
139	4556	14320
140	4582	14266
141	4606	14207
142	4630	14149
143	4653	14089
144	4666	13998
145	4679	13909
146	4702	13850
147	4731	13810
148	4755	13756
149	4778	13698
150	4804	13649
151	4831	13605
152	4856	13552
153	4880	13500
154	4903	13444
155	4917	13364
156	4943	13318
157	4969	13271
158	4992	13218
159	5015	13165
160	5039	13116
161	5064	13067
162	5089	13020
